carrier_name;arr_flights;arr_cancelled;torolt/ossz
Endeavor Air Inc.;281625;4073;1,426%
American Airlines Inc.;1018437;20050;1,931%
Alaska Airlines Inc.;284697;3096;1,076%
JetBlue Airways;321204;2830;0,873%
Delta Air Lines Inc.;1073663;1573;0,146%
ExpressJet Airlines Inc.;24389;959;3,783%
Frontier Airlines Inc.;149912;2382;1,564%
Allegiant Air;115030;684;0,591%
Hawaiian Airlines Inc.;90637;179;0,197%
Envoy Air;351701;10770;2,971%
Spirit Air Lines;224464;3569;1,565%
PSA Airlines Inc.;313346;7388;2,303%
SkyWest Airlines Inc.;909735;16924;1,826%
United Air Lines Inc.;673640;5078;0,748%
Southwest Airlines Co.;1463985;32703;2,185%
Mesa Airlines Inc.;244057;6616;2,639%
Republic Airline;360077;7000;1,907%
ExpressJet Airlines LLC;119067;4388;3,554%
